id fam grp bmi smoke edu height cardio menarche
121065 12065 mes 8.00442e-06 -2.24362e-05 -1.07179e-05 -4.50611e-05 5.06091e-05 -1.53109e-05
121066 12066 mes -1.39991e-06 -7.51664e-06 3.82852e-06 -3.15581e-05 4.54979e-05 -2.28792e-05
121068 12068 mes -1.79281e-06 -2.25596e-05 1.20392e-05 -3.09359e-05 6.29094e-05 -3.20514e-05
121070 12070 mes 1.17294e-05 -1.94177e-05 1.67545e-06 -4.72478e-05 4.97604e-05 -2.84298e-05
121073 12073 mes 1.19253e-05 -5.26723e-05 -5.14127e-06 -4.1919e-05 1.22468e-05 -2.91776e-05
121074 12074 mes 1.01018e-05 -4.77128e-05 -1.89528e-07 -3.26196e-05 6.57855e-05 -1.84673e-05
121076 12076 mes 6.93026e-06 -1.93228e-05 3.64257e-06 -3.40477e-05 6.21534e-05 -1.66865e-05
121077 12077 mes 1.37393e-05 -2.65855e-05 4.87015e-06 -5.8434e-05 3.41253e-05 -2.14593e-05
121078 12078 mes -7.00965e-06 -2.0561e-06 1.02342e-05 -2.75466e-05 4.61693e-05 -2.54879e-05
121079 12079 mes 6.85617e-06 -2.55011e-05 3.88491e-06 -4.39427e-05 1.71231e-05 -2.60671e-05
121082 12082 mes 5.39703e-06 -2.7738e-05 3.75754e-07 -3.15839e-05 5.53111e-05 -1.15173e-05
121083 12083 mes 4.28654e-06 -4.67026e-05 6.3224e-06 -3.65729e-05 2.34045e-05 6.25309e-07
121084 12084 mes 4.14004e-06 -3.68426e-05 4.83461e-06 -3.15889e-05 4.54226e-05 -1.16173e-05
122020 12020 mes 4.64466e-06 -4.67362e-05 -1.63474e-06 -4.17202e-05 6.51222e-05 -1.87618e-05
122021 12021 mes 1.53067e-05 7.15712e-07 -2.35822e-06 -5.35337e-05 4.11252e-05 -1.41811e-05
122048 12048 mes 6.95497e-06 -2.38339e-05 1.20197e-05 -3.91923e-05 3.4896e-05 -1.57405e-05
122049 12049 mes 4.64425e-06 -2.92876e-05 -6.89843e-06 -6.07611e-05 2.39388e-05 -2.56187e-05
122050 12050 mes 1.40829e-05 -5.41066e-05 3.75747e-06 -3.12283e-05 2.35765e-05 -3.60979e-05
122051 12051 mes 9.03416e-06 -5.38068e-05 2.76097e-06 -4.54459e-05 4.04457e-05 -2.42734e-05
122052 12052 mes 1.32166e-05 -8.88207e-06 2.23106e-06 -4.05022e-05 4.62716e-05 -1.35672e-05
122053 12053 mes 5.0462e-06 -4.45091e-05 3.11805e-06 -3.97936e-05 1.20052e-05 -2.32922e-05
122054 12054 mes 1.41948e-05 -3.71614e-05 6.66537e-06 -4.32671e-05 8.51682e-05 -1.25495e-05
122055 12055 mes 1.6747e-05 -1.63182e-05 -1.38516e-06 -4.52748e-05 6.40994e-05 -2.82584e-05
122056 12056 mes 1.38384e-05 -7.97248e-06 6.55957e-06 -5.11538e-05 7.82297e-05 -2.17381e-05
122059 12059 mes 1.79274e-05 -4.85988e-05 2.25355e-06 -4.66989e-05 4.41189e-05 -3.3076e-05
122060 12060 mes 1.21831e-05 -2.01461e-05 -4.04863e-06 -5.39822e-05 4.4974e-05 -1.21416e-05
122061 12061 mes 4.73088e-06 -4.79846e-05 3.87372e-06 -2.68054e-05 2.9608e-05 -2.08256e-05
122072 12072 mes 5.22363e-06 -4.79439e-05 2.70046e-06 -4.01911e-05 5.40579e-05 -4.44837e-05
122073 12073 mes 4.63892e-06 -3.7429e-05 6.99719e-06 -4.40908e-05 1.43199e-05 -1.96266e-05
122074 12074 mes 7.14506e-06 -3.10974e-05 3.66918e-06 -1.70679e-05 1.52627e-05 -2.03222e-05
122075 12075 mes 3.95666e-06 -7.60873e-05 9.39456e-06 -3.77112e-05 5.64193e-05 -1.71876e-05
122076 12076 mes 4.92661e-06 -2.68446e-05 5.1897e-06 -5.15917e-05 4.9428e-05 -1.76619e-05
122077 12077 mes 4.87309e-06 -2.67685e-05 1.82199e-06 -3.76515e-05 4.92935e-05 -5.44227e-06
122078 12078 mes -1.12618e-06 -3.9414e-05 8.31846e-06 -3.06752e-05 3.15945e-05 -2.41854e-05
122079 12079 mes 8.68836e-06 -1.94979e-05 2.88163e-06 -4.35245e-05 4.31107e-05 -1.58353e-05
122080 12080 mes 9.22257e-06 -3.21501e-05 6.10438e-06 -4.05557e-05 6.8335e-05 -2.05536e-05
122081 12081 mes 1.1057e-06 -7.45423e-06 1.57296e-06 -2.76447e-05 3.67419e-05 -1.92781e-05
